Date,Price,Open,High,Low,Change %,
12-Apr-10,1.08,1.068,1.081,1.0655,0.77%,4/12/2010
9-Apr-10,1.0717,1.0767,1.0792,1.0696,-0.42%,4/9/2010
8-Apr-10,1.0762,1.0785,1.0842,1.0757,-0.23%,4/8/2010
7-Apr-10,1.0787,1.0772,1.0814,1.0753,0.06%,4/7/2010
6-Apr-10,1.0781,1.0853,1.0911,1.0762,-0.63%,4/6/2010
5-Apr-10,1.0849,1.0881,1.0885,1.0841,-0.25%,4/5/2010
2-Apr-10,1.0876,1.0861,1.0892,1.085,0.16%,4/2/2010
1-Apr-10,1.0859,1.09,1.0929,1.0845,-0.44%,4/1/2010
31-Mar-10,1.0907,1.0887,1.0951,1.0858,0.16%,3/31/2010
30-Mar-10,1.089,1.09,1.0918,1.0847,-0.07%,3/30/2010
29-Mar-10,1.0898,1.1052,1.107,1.089,-1.47%,3/29/2010
26-Mar-10,1.1061,1.1013,1.1111,1.0966,0.31%,3/26/2010
25-Mar-10,1.1027,1.1011,1.1029,1.0937,0.01%,3/25/2010
24-Mar-10,1.1026,1.0884,1.1032,1.087,1.31%,3/24/2010
23-Mar-10,1.0883,1.0891,1.0947,1.0868,-0.17%,3/23/2010
22-Mar-10,1.0901,1.0929,1.1008,1.0885,-0.21%,3/22/2010
19-Mar-10,1.0924,1.0868,1.0955,1.0837,0.58%,3/19/2010
18-Mar-10,1.0861,1.0827,1.0893,1.0815,0.25%,3/18/2010
17-Mar-10,1.0834,1.0865,1.0902,1.0806,-0.35%,3/17/2010
16-Mar-10,1.0872,1.0935,1.0966,1.0868,-0.57%,3/16/2010
15-Mar-10,1.0934,1.089,1.0995,1.089,0.07%,3/15/2010
12-Mar-10,1.0926,1.0925,1.0941,1.0871,-0.01%,3/12/2010
11-Mar-10,1.0927,1.0927,1.0975,1.0902,-0.06%,3/11/2010
10-Mar-10,1.0934,1.0939,1.0958,1.0873,-0.07%,3/10/2010
